id,title,year,type,num_subscription_services,has_subscription,exclusive,rent_buy_only,cinema_only,subscription_services,monetization_types
tm1598352,Send Help,2026,movie,2,true,false,false,false,Disney+|Hulu,BUY|CINEMA|FLATRATE|RENT
tm1602729,"Good Luck, Have Fun, Don't Die",2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1457585,The Super Mario Galaxy Movie,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1520393,Hoppers,2026,movie,1,true,true,false,false,Disney+,BUY|CINEMA|FLATRATE|RENT
tm1610095,The Sheep Detectives,2026,movie,0,false,false,false,false,,BUY|CINEMA
tm1856965,Over Your Dead Body,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1591329,The Drama,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1635677,The Devil Wears Prada 2,2026,movie,0,false,false,false,true,,CINEMA
tm1645069,Ready or Not: Here I Come,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1875155,They Will Kill You,2026,movie,1,true,true,false,false,Max,BUY|CINEMA|FLATRATE|RENT
tm1458418,The Bride!,2026,movie,1,true,true,false,false,Max,BUY|CINEMA|FLATRATE|RENT
tm1506526,Mortal Kombat II,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1942487,Ladies First,2026,movie,1,true,true,false,false,Netflix,FLATRATE
tm2867265,Office Romance,2026,movie,1,true,true,false,false,Netflix,FLATRATE
tm1276703,Nirvanna the Band the Show the Movie,2026,movie,0,false,false,true,false,,BUY|RENT
tm1908323,I Love Boosters,2026,movie,0,false,false,false,true,,CINEMA
tm1502962,GOAT,2026,movie,1,true,true,false,false,Netflix,BUY|CINEMA|FLATRATE|RENT
tm1365822,Cold Storage,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1589869,How to Make a Killing,2026,movie,0,false,false,true,false,,BUY|RENT
tm1945120,Mike & Nick & Nick & Alice,2026,movie,2,true,false,false,false,Disney+|Hulu,FLATRATE
tm1656960,The Christophers,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1617839,The Breadwinner,2026,movie,0,false,false,false,false,,BUY|CINEMA
tm1393336,Toy Story 5,2026,movie,0,false,false,false,true,,CINEMA
tm1472679,Scary Movie,2026,movie,0,false,false,false,true,,CINEMA
tm1642373,Solo Mio,2026,movie,1,true,true,false,false,Angel Studios,BUY|CINEMA|FLATRATE|RENT
tm1924970,Forbidden Fruits,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1583631,Power Ballad,2026,movie,0,false,false,false,true,,CINEMA
tm1672734,Mile End Kicks,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1656229,Buffet Infinity,2026,movie,0,false,false,true,false,,BUY|RENT
tm1509524,Swapped,2026,movie,1,true,true,false,false,Netflix,CINEMA|FLATRATE
tm1544340,Outcome,2026,movie,1,true,true,false,false,Apple TV+,FLATRATE
tm1950138,Pizza Movie,2026,movie,2,true,false,false,false,Disney+|Hulu,FLATRATE
tm1627286,"You, Me & Tuscany",2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1970467,Roommates,2026,movie,1,true,true,false,false,Netflix,FLATRATE
tm1900049,The Moment,2026,movie,1,true,true,false,false,Max,BUY|CINEMA|FLATRATE|RENT
tm1928868,The Invite,2026,movie,0,false,false,false,true,,CINEMA
tm2861041,The Roast of Kevin Hart,2026,movie,1,true,true,false,false,Netflix,FLATRATE
tm1978758,Balls Up,2026,movie,1,true,true,false,false,Amazon Prime Video,FLATRATE
tm2877045,Gary,2026,movie,1,true,true,false,false,Hulu,FLATRATE
tm1646324,Toaster,2026,movie,1,true,true,false,false,Netflix,FLATRATE
tm1977231,Busboys,2026,movie,0,false,false,true,false,,BUY|RENT
tm1588221,Slanted,2026,movie,1,true,true,false,false,Paramount+,BUY|CINEMA|FLATRATE|RENT
tm1588197,Fantasy Life,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1920454,Stop! That! Train!,2026,movie,0,false,false,false,false,,BUY|CINEMA
tm1961056,Teenage Sex and Death at Camp Miasma,2026,movie,0,false,false,false,false,,
tm1449056,Animal Farm,2026,movie,1,true,true,false,false,Angel Studios,BUY|CINEMA|FLATRATE|RENT
tm1572652,The Pout-Pout Fish,2026,movie,1,true,true,false,false,Amazon Prime Video,BUY|CINEMA|FLATRATE|FREE|RENT
tm1932225,The Wrecking Crew,2026,movie,1,true,true,false,false,Amazon Prime Video,BUY|FLATRATE|RENT
tm1624384,"Our Hero, Balthazar",2026,movie,0,false,false,false,true,,CINEMA
tm2859354,Voicemails for Isabelle,2026,movie,0,false,false,false,false,,
ts446463,Widow's Bay,2026,show,1,true,true,false,false,Apple TV+,FLATRATE
ts470832,Maximum Pleasure Guaranteed,2026,show,1,true,true,false,false,Apple TV+,FLATRATE|FREE
ts419484,Margo's Got Money Troubles,2026,show,1,true,true,false,false,Apple TV+,FLATRATE|FREE
ts440297,Rooster,2026,show,1,true,true,false,false,Max,BUY|FLATRATE
ts455747,The Other Bennet Sister,2026,show,1,true,true,false,false,BritBox,FLATRATE
ts446649,The Audacity,2026,show,2,true,false,false,false,AMC+|Amazon Prime Video,BUY|FLATRATE|FREE
ts174637,Not Suitable for Work,2026,show,2,true,false,false,false,Disney+|Hulu,FLATRATE
ts526545,Alice and Steve,2026,show,2,true,false,false,false,Disney+|Hulu,FLATRATE
ts360501,DTF St. Louis,2026,show,1,true,true,false,false,Max,BUY|FLATRATE
ts479455,Big Mistakes,2026,show,1,true,true,false,false,Netflix,FLATRATE
ts517900,Jury Duty Presents: Company Retreat,2026,show,0,false,false,false,false,,
ts456569,Teach You a Lesson,2026,show,1,true,true,false,false,Netflix,FLATRATE
ts444335,The WONDERfools,2026,show,1,true,true,false,false,Netflix,FLATRATE
ts436968,Regular Show: The Lost Tapes,2026,show,3,true,false,false,false,Disney+|Hulu|Max,BUY|FLATRATE
ts400321,How to Get to Heaven from Belfast,2026,show,1,true,true,false,false,Netflix,FLATRATE
ts346947,Wonder Man,2026,show,2,true,false,false,false,Disney+|Hulu,FLATRATE
ts426499,The Miniature Wife,2026,show,1,true,true,false,false,Peacock,FLATRATE
ts488409,Scrubs,2026,show,2,true,false,false,false,Disney+|Hulu,BUY|FLATRATE|FREE
ts479260,The Fall and Rise of Reggie Dinkins,2026,show,1,true,true,false,false,Peacock,ADS|BUY|FLATRATE|FREE
ts502088,RJ Decker,2026,show,2,true,false,false,false,Disney+|Hulu,BUY|FLATRATE
ts442979,Bait,2026,show,1,true,true,false,false,Amazon Prime Video,FLATRATE
ts479010,Best Medicine,2026,show,3,true,false,false,false,Disney+|FOX One|Hulu,BUY|FLATRATE|FREE
ts524651,This Is a Gardening Show,2026,show,1,true,true,false,false,Netflix,FLATRATE
ts454466,The 'Burbs,2026,show,1,true,true,false,false,Peacock,BUY|FLATRATE
ts461513,Perfect Crown,2026,show,2,true,false,false,false,Disney+|Hulu,FLATRATE
ts482891,Mating Season,2026,show,1,true,true,false,false,Netflix,FLATRATE
ts502943,My Royal Nemesis,2026,show,1,true,true,false,false,Netflix,FLATRATE
ts488719,Smoking Behind the Supermarket with You,2026,show,1,true,true,false,false,Crunchyroll,FLATRATE
ts99323,The Killer Among Us,2026,show,1,true,true,false,false,Peacock,BUY|FLATRATE
ts477898,Doctor on the Edge,2026,show,2,true,false,false,false,Disney+|Hulu,FLATRATE
ts473465,Stuart Fails to Save the Universe,2026,show,0,false,false,false,false,,
