id,title,year,type,num_subscription_services,has_subscription,exclusive,rent_buy_only,cinema_only,subscription_services,monetization_types
tm1486587,Project Hail Mary,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1674759,Obsession,2026,movie,0,false,false,false,true,,CINEMA
tm1593183,Backrooms,2026,movie,0,false,false,false,true,,CINEMA
tm1598352,Send Help,2026,movie,2,true,false,false,false,Disney+|Hulu,BUY|CINEMA|FLATRATE|RENT
tm1925040,Hokum,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1602729,"Good Luck, Have Fun, Don't Die",2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1457585,The Super Mario Galaxy Movie,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1978067,Tom Clancy's Jack Ryan: Ghost War,2026,movie,1,true,true,false,false,Amazon Prime Video,FLATRATE
tm1941661,Remarkably Bright Creatures,2026,movie,1,true,true,false,false,Netflix,FLATRATE
tm1520393,Hoppers,2026,movie,1,true,true,false,false,Disney+,BUY|CINEMA|FLATRATE|RENT
tm1544080,The Housemaid,2025,movie,1,true,true,false,false,Starz,BUY|CINEMA|FLATRATE|RENT
tm1526979,Disclosure Day,2026,movie,0,false,false,false,false,,BUY|CINEMA
tm1453013,In the Grey,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1610095,The Sheep Detectives,2026,movie,0,false,false,false,false,,BUY|CINEMA
tm1436931,Michael,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1856965,Over Your Dead Body,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1591329,The Drama,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1635677,The Devil Wears Prada 2,2026,movie,0,false,false,false,true,,CINEMA
tm1645069,Ready or Not: Here I Come,2026,movie,0,false,false,false,false,,BUY|CINEMA|RENT
tm1576989,Marty Supreme,2025,movie,1,true,true,false,false,Max,BUY|CINEMA|FLATRATE|RENT
tm97234,Close Encounters of the Third Kind,1977,movie,2,true,false,false,false,Criterion Channel|Peacock,BUY|CINEMA|FLATRATE|RENT
tm1875155,They Will Kill You,2026,movie,1,true,true,false,false,Max,BUY|CINEMA|FLATRATE|RENT
tm1433295,Star Wars: The Mandalorian and Grogu,2026,movie,0,false,false,false,true,,CINEMA
tm1459877,One Battle After Another,2025,movie,2,true,false,false,false,Amazon Prime Video|Max,BUY|CINEMA|FLATRATE|RENT
tm32004,The Devil Wears Prada,2006,movie,4,true,false,false,false,AMC+|Disney+|Hulu|Max,BUY|FLATRATE|RENT
tm1616046,Exit 8,2025,movie,0,false,false,true,false,,BUY|RENT
